latency
371.73
402.08
370.84
432.99
416.64
411.39
467.6
407.12
412.84
463.24
458.09
390.56
379.01
443.19
538.16
458.09
381.47
463.36
426.73
411.72
408.81
467.27
434.68
502.0
425.82
425.05
498.52
449.01
435.91
451.26
475.67
391.68
410.14
429.42
382.26
490.9
434.91
440.4
453.94
421.35
418.88
421.35
434.35
446.1
469.4
399.96
392.68
470.63
413.62
430.98
515.1
429.87
466.83
477.92
416.65
481.61
390.67
449.24
401.42
450.14
455.29
439.04
424.04
401.3
416.98
575.47
410.16
477.8
396.26
401.41
497.18
432.77
426.62
439.16
408.36
393.01
395.25
497.52
409.15
423.92
399.63
472.32
426.61
474.44
446.44
603.8
473.21
443.97
419.0
328.95
400.86
479.48
464.14
449.91
414.74
462.57
431.99
437.03
467.61
467.38
