latency
275.74
267.02
243.15
224.68
252.68
244.06
255.37
254.69
226.35
240.36
242.71
251.1
257.38
240.69
229.05
246.3
272.39
253.8
225.91
220.75
246.4
213.7
257.05
242.37
239.46
249.66
250.33
238.12
249.99
247.74
235.77
256.6
237.45
249.1
255.92
249.77
237.0
250.43
253.68
261.63
265.68
244.06
256.38
263.43
247.64
254.46
254.69
241.7
255.47
242.38
248.42
262.98
241.36
272.05
247.97
242.82
242.04
270.04
252.67
229.71
244.06
233.42
233.64
225.46
265.0
229.72
239.02
257.94
238.22
266.24
234.76
268.36
264.33
253.12
234.31
268.69
236.44
246.63
257.72
230.39
235.43
237.66
220.42
248.32
249.1
220.98
227.82
228.7
231.74
251.33
228.04
259.74
261.08
234.08
264.0
266.67
233.41
245.51
228.26
255.36
