latency
86.24
89.38
111.56
91.63
99.92
106.97
87.93
120.96
107.3
125.9
106.96
98.9
84.56
108.54
126.9
122.76
86.58
102.26
110.44
101.82
118.72
97.33
124.56
95.76
102.82
100.81
76.16
110.21
97.22
84.57
90.83
117.49
117.27
120.64
93.98
82.67
98.45
109.09
87.7
92.4
98.67
90.16
111.9
92.18
86.47
88.48
125.56
128.13
99.13
117.5
99.13
115.81
108.54
75.83
91.95
102.49
82.55
124.33
79.08
97.78
107.19
129.48
115.25
127.12
102.04
95.43
93.19
99.34
125.0
97.33
124.77
88.04
115.03
90.83
130.72
93.19
106.4
89.95
89.38
126.56
105.52
121.64
116.72
79.07
110.44
111.11
119.4
86.8
107.74
124.66
120.29
80.88
91.63
115.82
105.52
111.55
117.95
123.54
102.82
121.75
